Month,Hour,Hight ,Windvane,Temperature,Humidity,Pressure,Wind Speed
1,7,78,97,6.865,36.621,972.857,4.527
12,0,60,250,6.865,61.279,968.536,10.117
12,0,60,254,6.865,60.547,968.463,9.182
12,0,60,260,6.865,61.035,968.316,8.798
12,1,60,264,6.865,57.983,968.17,11.015
12,1,60,270,6.865,57.251,968.17,12.256
12,1,60,270,6.865,56.519,968.17,10.137
12,1,60,264,6.865,57.495,968.023,9.995
12,2,60,267,6.865,56.885,967.95,9.158
12,2,60,268,6.865,57.129,968.097,10.445
12,5,60,263,6.865,58.96,969.488,10.318
12,5,60,261,6.865,59.692,969.562,11.101
1,7,60,97,6.865,36.621,972.857,4.138
12,0,40,250,6.865,61.279,968.536,9.826
12,0,40,254,6.865,60.547,968.463,8.766
12,0,40,260,6.865,61.035,968.316,8.198
12,1,40,264,6.865,57.983,968.17,10.624
12,1,40,270,6.865,57.251,968.17,11.927
12,1,40,270,6.865,56.519,968.17,9.621
12,1,40,264,6.865,57.495,968.023,9.655
12,2,40,267,6.865,56.885,967.95,8.634
12,2,40,268,6.865,57.129,968.097,10.145
12,5,40,263,6.865,58.96,969.488,10.159
12,5,40,261,6.865,59.692,969.562,10.96
1,7,40,97,6.865,36.621,972.857,3.848
12,0,20,250,6.865,61.279,968.536,9.067
12,0,20,254,6.865,60.547,968.463,8.132
12,0,20,260,6.865,61.035,968.316,7.538
12,1,20,264,6.865,57.983,968.17,10.063
12,1,20,270,6.865,57.251,968.17,11.347
12,1,20,270,6.865,56.519,968.17,9.091
12,1,20,264,6.865,57.495,968.023,8.93
12,2,20,267,6.865,56.885,967.95,8.054
12,2,20,268,6.865,57.129,968.097,9.514
12,5,20,263,6.865,58.96,969.488,9.733
12,5,20,261,6.865,59.692,969.562,10.546
1,7,20,97,6.865,36.621,972.857,3.737
12,23,80,254,6.987,58.472,968.609,9.834
12,0,80,252,6.987,59.814,968.536,10.411
2,13,80,243,6.987,44.189,965.899,14.036
4,13,80,59,6.987,16.602,966.046,5.375
12,23,78,254,6.987,58.472,968.609,9.798
12,0,78,252,6.987,59.814,968.536,10.406
2,13,78,243,6.987,44.189,965.899,13.326
4,13,78,59,6.987,16.602,966.046,5.33
12,23,60,254,6.987,58.472,968.609,9.593
12,0,60,252,6.987,59.814,968.536,10.293
2,13,60,243,6.987,44.189,965.899,13.064
4,13,60,59,6.987,16.602,966.046,5.372
12,23,40,254,6.987,58.472,968.609,9.271
12,0,40,252,6.987,59.814,968.536,10.059
2,13,40,243,6.987,44.189,965.899,12.382
4,13,40,59,6.987,16.602,966.046,5.391
12,23,20,254,6.987,58.472,968.609,8.771
12,0,20,252,6.987,59.814,968.536,9.592
2,13,20,243,6.987,44.189,965.899,11.877
4,13,20,59,6.987,16.602,966.046,5.375
12,1,80,270,7.109,55.42,967.877,9.668
12,5,80,264,7.109,57.617,969.708,13.033
2,16,80,301,7.109,46.143,970.66,9.225
2,11,80,267,7.109,33.081,968.243,8.584
4,5,80,140,7.109,8.911,968.023,1.535
12,1,78,270,7.109,55.42,967.877,9.654
12,5,78,264,7.109,57.617,969.708,13.092
2,16,78,301,7.109,46.143,970.66,9.178
2,11,78,267,7.109,33.081,968.243,8.587
4,5,78,140,7.109,8.911,968.023,1.516
12,1,60,270,7.109,55.42,967.877,9.305
12,5,60,264,7.109,57.617,969.708,13.059
2,16,60,301,7.109,46.143,970.66,8.808
2,11,60,267,7.109,33.081,968.243,8.681
4,5,60,140,7.109,8.911,968.023,1.394
12,1,40,270,7.109,55.42,967.877,8.73
12,5,40,264,7.109,57.617,969.708,12.881
2,16,40,301,7.109,46.143,970.66,8.362
2,11,40,267,7.109,33.081,968.243,8.595
4,5,40,140,7.109,8.911,968.023,1.285
12,1,20,270,7.109,55.42,967.877,8.068
12,5,20,264,7.109,57.617,969.708,12.448
2,16,20,301,7.109,46.143,970.66,7.653
2,11,20,267,7.109,33.081,968.243,8.452
4,5,20,140,7.109,8.911,968.023,1.144
12,23,80,260,7.231,56.152,968.683,9.521
12,23,80,267,7.231,54.81,968.683,9.267
2,12,80,228,7.231,45.776,966.046,12.618
3,11,80,86,7.231,28.198,966.559,6.801
3,10,80,111,7.231,33.081,962.384,4.546
3,11,80,55,7.231,25.269,965.899,3.487
12,23,78,260,7.231,56.152,968.683,9.515
12,23,78,267,7.231,54.81,968.683,9.259
2,12,78,228,7.231,45.776,966.046,12.547
3,11,78,86,7.231,28.198,966.559,6.771
3,10,78,111,7.231,33.081,962.384,4.537
3,11,78,55,7.231,25.269,965.899,3.452
12,23,60,260,7.231,56.152,968.683,9.422
12,23,60,267,7.231,54.81,968.683,9.131
2,12,60,228,7.231,45.776,966.046,12.379
3,11,60,86,7.231,28.198,966.559,6.762
3,10,60,111,7.231,33.081,962.384,4.53
3,11,60,55,7.231,25.269,965.899,3.389
12,23,40,260,7.231,56.152,968.683,9.322
12,23,40,267,7.231,54.81,968.683,8.891
2,12,40,228,7.231,45.776,966.046,12.235
3,11,40,86,7.231,28.198,966.559,6.678
3,10,40,111,7.231,33.081,962.384,4.529
3,11,40,55,7.231,25.269,965.899,3.364
12,23,20,260,7.231,56.152,968.683,8.996
12,23,20,267,7.231,54.81,968.683,8.449
2,12,20,228,7.231,45.776,966.046,11.865
3,11,20,86,7.231,28.198,966.559,6.445
3,10,20,111,7.231,33.081,962.384,4.442
3,11,20,55,7.231,25.269,965.899,3.278
12,23,80,273,7.354,52.124,968.463,9.426
12,23,80,263,7.354,54.199,968.39,9.824
1,8,80,1,7.354,21.606,973.443,1.254
4,11,80,79,7.354,20.386,966.412,7.335
12,23,78,273,7.354,52.124,968.463,9.427
12,23,78,263,7.354,54.199,968.39,9.823
1,8,78,1,7.354,21.606,973.443,1.194
4,11,78,79,7.354,20.386,966.412,7.247
12,23,60,273,7.354,52.124,968.463,9.285
12,23,60,263,7.354,54.199,968.39,9.74
1,8,60,1,7.354,21.606,973.443,1.292
4,11,60,79,7.354,20.386,966.412,7.244
12,23,40,273,7.354,52.124,968.463,9.055
12,23,40,263,7.354,54.199,968.39,9.508
1,8,40,1,7.354,21.606,973.443,1.285
4,11,40,79,7.354,20.386,966.412,7.205
12,23,20,273,7.354,52.124,968.463,8.615
12,23,20,263,7.354,54.199,968.39,9.135
1,8,20,1,7.354,21.606,973.443,1.532
4,11,20,79,7.354,20.386,966.412,7.121
12,22,80,280,7.476,52.246,968.463,10.605
12,23,80,274,7.476,52.49,968.463,9.925
12,5,80,275,7.476,53.589,969.854,12.64
12,6,80,273,7.476,52.368,969.854,10.14
12,11,80,285,7.476,48.828,976.739,9.049
2,14,80,323,7.476,40.039,970.44,9.201
2,12,80,236,7.476,45.776,966.192,14.682
4,13,80,66,7.476,16.357,966.266,4.818
12,22,78,280,7.476,52.246,968.463,10.609
12,23,78,274,7.476,52.49,968.463,9.93
12,5,78,275,7.476,53.589,969.854,12.679
12,6,78,273,7.476,52.368,969.854,10.181
12,11,78,285,7.476,48.828,976.739,9.073
2,14,78,323,7.476,40.039,970.44,9.183
2,12,78,236,7.476,45.776,966.192,14.64
4,13,78,66,7.476,16.357,966.266,4.771
12,22,60,280,7.476,52.246,968.463,10.484
12,23,60,274,7.476,52.49,968.463,9.821
12,5,60,275,7.476,53.589,969.854,12.572
12,6,60,273,7.476,52.368,969.854,10.08
12,11,60,285,7.476,48.828,976.739,9.099
2,14,60,323,7.476,40.039,970.44,9.043
2,12,60,236,7.476,45.776,966.192,14.542
4,13,60,66,7.476,16.357,966.266,4.75
12,22,40,280,7.476,52.246,968.463,10.321
12,23,40,274,7.476,52.49,968.463,9.599
12,5,40,275,7.476,53.589,969.854,12.36
12,6,40,273,7.476,52.368,969.854,9.998
12,11,40,285,7.476,48.828,976.739,9.087
2,14,40,323,7.476,40.039,970.44,8.828
2,12,40,236,7.476,45.776,966.192,14.279
4,13,40,66,7.476,16.357,966.266,4.771
12,22,20,280,7.476,52.246,968.463,9.855
12,23,20,274,7.476,52.49,968.463,9.067
12,5,20,275,7.476,53.589,969.854,11.938
12,6,20,273,7.476,52.368,969.854,9.782
12,11,20,285,7.476,48.828,976.739,8.923
2,14,20,323,7.476,40.039,970.44,8.388
2,12,20,236,7.476,45.776,966.192,13.833
4,13,20,66,7.476,16.357,966.266,4.652
12,6,80,274,7.598,51.514,969.708,10.764
12,6,78,274,7.598,51.514,969.708,10.77
12,6,60,274,7.598,51.514,969.708,10.785
12,6,40,274,7.598,51.514,969.708,10.808
12,6,20,274,7.598,51.514,969.708,10.605
12,6,80,277,7.72,50.537,969.781,11.752
12,6,78,277,7.72,50.537,969.781,11.747
12,6,60,277,7.72,50.537,969.781,11.498
12,6,40,277,7.72,50.537,969.781,11.175
12,6,20,277,7.72,50.537,969.781,10.935
4,14,80,350,7.842,20.264,968.463,8.394
4,6,80,318,7.842,22.827,969.781,8.538
4,14,78,350,7.842,20.264,968.463,8.353
4,6,78,318,7.842,22.827,969.781,8.519
4,14,60,350,7.842,20.264,968.463,8.242
4,6,60,318,7.842,22.827,969.781,8.477
4,14,40,350,7.842,20.264,968.463,8.145
4,6,40,318,7.842,22.827,969.781,8.507
4,14,20,350,7.842,20.264,968.463,7.851
4,6,20,318,7.842,22.827,969.781,8.342
12,6,80,274,7.964,50.537,970.001,11.192
12,6,80,270,7.964,51.636,970.147,11.143
2,6,80,246,7.964,47.119,969.854,8.783
2,12,80,83,7.964,29.419,972.418,5.495
4,13,80,98,7.964,16.602,967.877,9.529
12,6,78,274,7.964,50.537,970.001,11.197
12,6,78,270,7.964,51.636,970.147,11.173
2,6,78,246,7.964,47.119,969.854,8.751
2,12,78,83,7.964,29.419,972.418,5.403
4,13,78,98,7.964,16.602,967.877,9.508
12,6,60,274,7.964,50.537,970.001,11.17
12,6,60,270,7.964,51.636,970.147,11.077
2,6,60,246,7.964,47.119,969.854,8.754
2,12,60,83,7.964,29.419,972.418,5.462
4,13,60,98,7.964,16.602,967.877,9.317
12,6,40,274,7.964,50.537,970.001,10.94
12,6,40,270,7.964,51.636,970.147,10.938
2,6,40,246,7.964,47.119,969.854,8.676
2,12,40,83,7.964,29.419,972.418,5.491
4,13,40,98,7.964,16.602,967.877,9.19
12,6,20,274,7.964,50.537,970.001,10.742
12,6,20,270,7.964,51.636,970.147,10.534
2,6,20,246,7.964,47.119,969.854,8.454
2,12,20,83,7.964,29.419,972.418,5.517
4,13,20,98,7.964,16.602,967.877,9.028
12,6,80,275,8.086,51.27,970.221,11.209
12,7,80,278,8.086,51.025,970.294,10.316
2,8,80,358,8.086,22.949,970.514,2.257
2,14,80,107,8.086,26.245,968.243,9.042
3,5,80,358,8.086,19.531,970.367,1.293
5,11,80,271,8.086,17.944,968.17,3.786
12,6,78,275,8.086,51.27,970.221,11.251
12,7,78,278,8.086,51.025,970.294,10.328
2,8,78,358,8.086,22.949,970.514,2.244
2,14,78,107,8.086,26.245,968.243,8.978
3,5,78,358,8.086,19.531,970.367,1.265
5,11,78,271,8.086,17.944,968.17,3.78
12,6,60,275,8.086,51.27,970.221,11.204
12,7,60,278,8.086,51.025,970.294,10.181
2,8,60,358,8.086,22.949,970.514,2.187
2,14,60,107,8.086,26.245,968.243,8.534
3,5,60,358,8.086,19.531,970.367,1.164
5,11,60,271,8.086,17.944,968.17,3.817
12,6,40,275,8.086,51.27,970.221,11.097
12,7,40,278,8.086,51.025,970.294,9.998
2,8,40,358,8.086,22.949,970.514,2.218
2,14,40,107,8.086,26.245,968.243,7.949
3,5,40,358,8.086,19.531,970.367,1.305
5,11,40,271,8.086,17.944,968.17,3.775
12,6,20,275,8.086,51.27,970.221,10.881
12,7,20,278,8.086,51.025,970.294,9.777
2,8,20,358,8.086,22.949,970.514,2.074
2,14,20,107,8.086,26.245,968.243,7.331
3,5,20,358,8.086,19.531,970.367,1.29
5,11,20,271,8.086,17.944,968.17,3.852
12,7,80,282,8.208,50.781,970.221,10.14
12,7,80,288,8.208,50.415,970.147,10.854
3,10,80,10,8.208,23.071,967.438,5.27
4,11,80,81,8.208,21.484,966.852,7.503
12,7,78,282,8.208,50.781,970.221,10.16
12,7,78,288,8.208,50.415,970.147,10.877
3,10,78,10,8.208,23.071,967.438,5.23
4,11,78,81,8.208,21.484,966.852,7.418
12,7,60,282,8.208,50.781,970.221,10.063
12,7,60,288,8.208,50.415,970.147,10.785
3,10,60,10,8.208,23.071,967.438,5.247
4,11,60,81,8.208,21.484,966.852,7.437
12,7,40,282,8.208,50.781,970.221,9.897
12,7,40,288,8.208,50.415,970.147,10.708
3,10,40,10,8.208,23.071,967.438,5.004
4,11,40,81,8.208,21.484,966.852,7.256
12,7,20,282,8.208,50.781,970.221,9.587
12,7,20,288,8.208,50.415,970.147,10.585
3,10,20,10,8.208,23.071,967.438,4.877
4,11,20,81,8.208,21.484,966.852,7.177
12,7,80,285,8.33,49.805,970.147,10.94
1,5,80,59,8.33,26.001,972.857,2.291
12,7,78,285,8.33,49.805,970.147,10.946
1,5,78,59,8.33,26.001,972.857,2.168
12,7,60,285,8.33,49.805,970.147,10.849
1,5,60,59,8.33,26.001,972.857,1.82
12,7,40,285,8.33,49.805,970.147,10.62
1,5,40,59,8.33,26.001,972.857,1.701
12,7,20,285,8.33,49.805,970.147,10.341
1,5,20,59,8.33,26.001,972.857,1.705
2,17,80,289,8.452,37.476,974.249,5.013
2,14,80,56,8.452,37.842,967.218,4.397
2,17,78,289,8.452,37.476,974.249,5.013
2,14,78,56,8.452,37.842,967.218,4.331
2,17,60,289,8.452,37.476,974.249,4.87
2,14,60,56,8.452,37.842,967.218,4.072
2,17,40,289,8.452,37.476,974.249,4.673
2,14,40,56,8.452,37.842,967.218,3.638
2,17,20,289,8.452,37.476,974.249,4.594
2,14,20,56,8.452,37.842,967.218,3.205
12,7,80,284,8.574,48.95,970.074,11.4
12,7,80,280,8.574,47.729,970.001,11.749
12,7,78,284,8.574,48.95,970.074,11.4
12,7,78,280,8.574,47.729,970.001,11.795
12,7,60,284,8.574,48.95,970.074,11.297
12,7,60,280,8.574,47.729,970.001,11.708
12,7,40,284,8.574,48.95,970.074,11.124
12,7,40,280,8.574,47.729,970.001,11.589
12,7,20,284,8.574,48.95,970.074,10.857
12,7,20,280,8.574,47.729,970.001,11.313
12,8,80,278,8.696,46.875,969.928,12.246
1,8,80,119,8.696,25.879,971.466,7.225
5,10,80,301,8.696,21.362,964.435,8.284
12,8,78,278,8.696,46.875,969.928,12.264
1,8,78,119,8.696,25.879,971.466,7.191
5,10,78,301,8.696,21.362,964.435,8.228
12,8,60,278,8.696,46.875,969.928,12.176
1,8,60,119,8.696,25.879,971.466,7.222
5,10,60,301,8.696,21.362,964.435,8.311
12,8,40,278,8.696,46.875,969.928,11.949
1,8,40,119,8.696,25.879,971.466,7.236
5,10,40,301,8.696,21.362,964.435,8.269
12,8,20,278,8.696,46.875,969.928,11.655
1,8,20,119,8.696,25.879,971.466,7.16
5,10,20,301,8.696,21.362,964.435,8.183
5,13,80,343,8.94,13.55,967.804,12.036
5,13,78,343,8.94,13.55,967.804,11.998
5,13,60,343,8.94,13.55,967.804,11.884
5,13,40,343,8.94,13.55,967.804,11.719
5,13,20,343,8.94,13.55,967.804,11.464
2,12,80,80,9.063,35.645,967.73,4.879
2,12,78,80,9.063,35.645,967.73,4.83
2,12,60,80,9.063,35.645,967.73,4.779
2,12,40,80,9.063,35.645,967.73,4.798
2,12,20,80,9.063,35.645,967.73,4.748
5,7,80,72,9.185,13.672,965.533,4.725
5,7,78,72,9.185,13.672,965.533,4.678
5,7,60,72,9.185,13.672,965.533,4.647
5,7,40,72,9.185,13.672,965.533,4.48
5,7,20,72,9.185,13.672,965.533,4.364
2,10,80,312,9.429,33.081,968.17,8.545
2,10,78,312,9.429,33.081,968.17,8.563
2,10,60,312,9.429,33.081,968.17,8.487
2,10,40,312,9.429,33.081,968.17,8.367
2,10,20,312,9.429,33.081,968.17,8.212
3,6,80,91,9.551,26.001,968.976,3.507
5,11,80,79,9.551,13.55,966.119,7.601
5,13,80,346,9.551,31.86,964.361,8.296
3,6,78,91,9.551,26.001,968.976,3.484
5,11,78,79,9.551,13.55,966.119,7.54
5,13,78,346,9.551,31.86,964.361,8.284
3,6,60,91,9.551,26.001,968.976,3.365
5,11,60,79,9.551,13.55,966.119,7.55
5,13,60,346,9.551,31.86,964.361,8.277
3,6,40,91,9.551,26.001,968.976,3.202
5,11,40,79,9.551,13.55,966.119,7.422
5,13,40,346,9.551,31.86,964.361,8.343
3,6,20,91,9.551,26.001,968.976,3.08
5,11,20,79,9.551,13.55,966.119,7.326
5,13,20,346,9.551,31.86,964.361,8.002
1,5,80,233,9.673,60.791,973.077,7.464
1,5,78,233,9.673,60.791,973.077,7.469
1,5,60,233,9.673,60.791,973.077,7.694
1,5,40,233,9.673,60.791,973.077,7.807
1,5,20,233,9.673,60.791,973.077,7.719
1,5,80,235,9.795,60.059,972.857,8.259
2,8,80,322,9.795,40.283,970.367,7.134
2,9,80,28,9.795,35.156,977.032,2.626
4,10,80,93,9.795,23.315,969.635,7.053
4,14,80,60,9.795,16.357,966.192,4.231
1,5,78,235,9.795,60.059,972.857,8.24
2,8,78,322,9.795,40.283,970.367,7.09
2,9,78,28,9.795,35.156,977.032,2.642
4,10,78,93,9.795,23.315,969.635,7.02
4,14,78,60,9.795,16.357,966.192,4.187
1,5,60,235,9.795,60.059,972.857,8.348
2,8,60,322,9.795,40.283,970.367,7.153
2,9,60,28,9.795,35.156,977.032,2.745
4,10,60,93,9.795,23.315,969.635,6.862
4,14,60,60,9.795,16.357,966.192,4.15
1,5,40,235,9.795,60.059,972.857,8.416
2,8,40,322,9.795,40.283,970.367,7.087
2,9,40,28,9.795,35.156,977.032,2.651
4,10,40,93,9.795,23.315,969.635,6.72
4,14,40,60,9.795,16.357,966.192,4.127
1,5,20,235,9.795,60.059,972.857,8.337
2,8,20,322,9.795,40.283,970.367,6.957
2,9,20,28,9.795,35.156,977.032,2.584
4,10,20,93,9.795,23.315,969.635,6.593
4,14,20,60,9.795,16.357,966.192,4.105
1,5,80,235,9.917,59.937,973.15,6.278
1,8,80,11,9.917,21.484,973.37,1.604
1,5,78,235,9.917,59.937,973.15,6.285
1,8,78,11,9.917,21.484,973.37,1.563
1,5,60,235,9.917,59.937,973.15,6.353
1,8,60,11,9.917,21.484,973.37,1.654
1,5,40,235,9.917,59.937,973.15,6.345
1,8,40,11,9.917,21.484,973.37,1.581
1,5,20,235,9.917,59.937,973.15,6.286
1,8,20,11,9.917,21.484,973.37,1.473
1,5,80,236,10.039,59.082,972.711,8.831
4,11,80,337,10.039,28.076,959.894,6.804
5,10,80,326,10.039,24.902,967.804,15.956
1,5,78,236,10.039,59.082,972.711,8.868
4,11,78,337,10.039,28.076,959.894,6.778
5,10,78,326,10.039,24.902,967.804,15.914
1,5,60,236,10.039,59.082,972.711,8.982
4,11,60,337,10.039,28.076,959.894,6.745
5,10,60,326,10.039,24.902,967.804,15.908
1,5,40,236,10.039,59.082,972.711,9.019
4,11,40,337,10.039,28.076,959.894,6.786
5,10,40,326,10.039,24.902,967.804,15.552
1,5,20,236,10.039,59.082,972.711,8.847
4,11,20,337,10.039,28.076,959.894,6.637
5,10,20,326,10.039,24.902,967.804,15.256
1,19,80,288,10.161,62.622,970.44,7.633
1,6,80,239,10.161,59.326,973.297,5.755
1,19,78,288,10.161,62.622,970.44,7.623
1,6,78,239,10.161,59.326,973.297,5.796
1,19,60,288,10.161,62.622,970.44,7.552
1,6,60,239,10.161,59.326,973.297,6.052
1,19,40,288,10.161,62.622,970.44,7.459
1,6,40,239,10.161,59.326,973.297,6.208
1,19,20,288,10.161,62.622,970.44,7.377
1,6,20,239,10.161,59.326,973.297,6.174
1,1,80,247,10.283,59.692,970.44,6.882
1,2,80,250,10.283,59.082,970.587,7.56
1,4,80,250,10.283,58.105,972.052,6.263
1,1,78,247,10.283,59.692,970.44,6.922
1,2,78,250,10.283,59.082,970.587,7.593
1,4,78,250,10.283,58.105,972.052,6.299
1,1,60,247,10.283,59.692,970.44,7.151
1,2,60,250,10.283,59.082,970.587,7.814
1,4,60,250,10.283,58.105,972.052,6.578
1,1,40,247,10.283,59.692,970.44,6.93
1,2,40,250,10.283,59.082,970.587,7.706
1,4,40,250,10.283,58.105,972.052,7.004
1,1,20,247,10.283,59.692,970.44,6.615
1,2,20,250,10.283,59.082,970.587,7.504
1,4,20,250,10.283,58.105,972.052,7.333
1,4,80,305,10.405,83.618,973.15,12.87
1,19,80,280,10.405,61.89,970.367,6.655
1,2,80,253,10.405,58.228,970.66,7.173
1,2,80,250,10.405,58.105,970.733,6.96
1,2,80,252,10.405,57.861,970.807,6.752
1,2,80,254,10.405,58.105,971.026,6.505
1,2,80,261,10.405,57.861,971.246,6.637
1,3,80,263,10.405,57.983,971.393,6.96
1,3,80,264,10.405,58.35,971.466,6.439
1,3,80,254,10.405,58.228,971.539,5.116
1,3,80,250,10.405,57.739,971.612,4.512
1,3,80,249,10.405,57.983,971.759,5.141
1,4,80,257,10.405,57.617,971.905,6.324
1,4,80,249,10.405,58.228,972.125,6.907
1,4,80,247,10.405,57.983,972.271,7.743
2,9,80,10,10.405,35.522,976.593,2.771
2,5,80,237,10.405,17.822,967.291,5.955
1,4,78,305,10.405,83.618,973.15,12.782
1,19,78,280,10.405,61.89,970.367,6.646
1,2,78,253,10.405,58.228,970.66,7.208
1,2,78,250,10.405,58.105,970.733,6.988
1,2,78,252,10.405,57.861,970.807,6.79
1,2,78,254,10.405,58.105,971.026,6.524
1,2,78,261,10.405,57.861,971.246,6.673
1,3,78,263,10.405,57.983,971.393,7.005
1,3,78,264,10.405,58.35,971.466,6.465
1,3,78,254,10.405,58.228,971.539,5.174
1,3,78,250,10.405,57.739,971.612,4.554
1,3,78,249,10.405,57.983,971.759,5.196
1,4,78,257,10.405,57.617,971.905,6.373
1,4,78,249,10.405,58.228,972.125,6.934
1,4,78,247,10.405,57.983,972.271,7.73
2,9,78,10,10.405,35.522,976.593,2.749
2,5,78,237,10.405,17.822,967.291,5.877
1,4,60,305,10.405,83.618,973.15,11.933
1,19,60,280,10.405,61.89,970.367,6.546
1,2,60,253,10.405,58.228,970.66,7.413
1,2,60,250,10.405,58.105,970.733,7.146
1,2,60,252,10.405,57.861,970.807,6.945
1,2,60,254,10.405,58.105,971.026,6.72
1,2,60,261,10.405,57.861,971.246,7.053
1,3,60,263,10.405,57.983,971.393,7.295
1,3,60,264,10.405,58.35,971.466,6.94
1,3,60,254,10.405,58.228,971.539,5.491
1,3,60,250,10.405,57.739,971.612,4.823
1,3,60,249,10.405,57.983,971.759,5.396
1,4,60,257,10.405,57.617,971.905,6.674
1,4,60,249,10.405,58.228,972.125,7.068
1,4,60,247,10.405,57.983,972.271,7.853
2,9,60,10,10.405,35.522,976.593,2.667
2,5,60,237,10.405,17.822,967.291,5.589
1,4,40,305,10.405,83.618,973.15,10.774
1,19,40,280,10.405,61.89,970.367,6.526
1,2,40,253,10.405,58.228,970.66,7.542
1,2,40,250,10.405,58.105,970.733,7.322
1,2,40,252,10.405,57.861,970.807,7.07
1,2,40,254,10.405,58.105,971.026,6.96
1,2,40,261,10.405,57.861,971.246,7.3
1,3,40,263,10.405,57.983,971.393,7.616
1,3,40,264,10.405,58.35,971.466,7.317
1,3,40,254,10.405,58.228,971.539,5.9
1,3,40,250,10.405,57.739,971.612,5.187
1,3,40,249,10.405,57.983,971.759,5.726
1,4,40,257,10.405,57.617,971.905,6.977
1,4,40,249,10.405,58.228,972.125,7.332
1,4,40,247,10.405,57.983,972.271,8.164
2,9,40,10,10.405,35.522,976.593,2.566
2,5,40,237,10.405,17.822,967.291,5.026
1,4,20,305,10.405,83.618,973.15,9.787
1,19,20,280,10.405,61.89,970.367,6.528
1,2,20,253,10.405,58.228,970.66,7.407
1,2,20,250,10.405,58.105,970.733,7.36
1,2,20,252,10.405,57.861,970.807,7.145
1,2,20,254,10.405,58.105,971.026,7.099
1,2,20,261,10.405,57.861,971.246,7.216
1,3,20,263,10.405,57.983,971.393,7.599
1,3,20,264,10.405,58.35,971.466,7.619
1,3,20,254,10.405,58.228,971.539,6.217
1,3,20,250,10.405,57.739,971.612,5.573
1,3,20,249,10.405,57.983,971.759,5.912
1,4,20,257,10.405,57.617,971.905,7.309
1,4,20,249,10.405,58.228,972.125,7.521
1,4,20,247,10.405,57.983,972.271,8.085
2,9,20,10,10.405,35.522,976.593,2.57
2,5,20,237,10.405,17.822,967.291,4.472
1,3,80,306,10.527,80.688,972.564,14.004
1,4,80,302,10.527,83.374,973.15,13.425
1,4,80,311,10.527,83.618,973.077,12.221
1,19,80,254,10.527,61.401,970.44,8.467
1,23,80,266,10.527,61.157,970.367,4.96
1,0,80,267,10.527,61.035,970.44,4.341
1,1,80,261,10.527,60.547,970.44,6.288
1,3,80,260,10.527,57.617,971.832,5.466
1,4,80,263,10.527,57.251,971.905,6.009
1,5,80,246,10.527,57.739,972.418,8.271
1,5,80,246,10.527,57.495,972.564,9.299
1,9,80,126,10.527,22.583,962.457,12.967
3,14,80,330,10.527,9.277,970.514,9.455
3,16,80,257,10.527,10.376,962.677,7.369
1,3,78,306,10.527,80.688,972.564,13.91
1,4,78,302,10.527,83.374,973.15,13.336
1,4,78,311,10.527,83.618,973.077,12.149
1,19,78,254,10.527,61.401,970.44,8.411
1,23,78,266,10.527,61.157,970.367,4.964
1,0,78,267,10.527,61.035,970.44,4.363
1,1,78,261,10.527,60.547,970.44,6.258
1,3,78,260,10.527,57.617,971.832,5.518
1,4,78,263,10.527,57.251,971.905,6.055
1,5,78,246,10.527,57.739,972.418,8.284
